"サービス","OpenSearch Service($)","Savings Plans for  Compute usage($)","Support (Enterprise)($)","Relational Database Service($)","Tax($)","S3($)","Elastic Container Service($)","CloudFront($)","Redshift($)","CloudWatch($)","ElastiCache($)","CloudFront Security Bundle($)","VPC($)","Elastic Load Balancing($)","GuardDuty($)","CloudTrail($)","EC2 その他($)","Kinesis Firehose($)","WAF($)","EC2 Container Registry (ECR)($)","Global Accelerator($)","EC2 インスタンス($)","Athena($)","Lambda($)","Key Management Service($)","Config($)","Route 53($)","SQS($)","Managed Grafana($)","Cost Explorer($)","Secrets Manager($)","CloudWatch Events($)","CodePipeline($)","SES($)","Elastic File System($)","CodeBuild($)","Systems Manager($)","SNS($)","API Gateway($)","Location Service($)","CloudShell($)","Step Functions($)","Glue($)","DynamoDB($)","Elastic Container Registry Public($)","QuickSight($)","Certificate Manager($)","X-Ray($)","CloudFormation($)","Refund($)","合計コスト($)"
"2025-10-18","18.8716340653","0","","33.6045249247","","54.0396345301","8.4510730291","10.0862496538","4.4922611422","14.0886389447","0","","12.7102838856","11.8647794022","3.5680409034","0.785018","6.4276100364","3.7226021001","3.786160428","2.5353872904","2.4095002668","0.0120414935","0.00955","1.4176314093","1.013639064","0.078","0.2330872","0.411366","","0.0866245161","0.0129032256","0.011763","","0.0005008275","0.0001411392","","","0","","","","","0","0","0","0","","","","","194.730646478"
"2025-10-19","18.8767495276","0","","29.7943223279","","55.2167399144","8.9717867702","9.1261603285","4.88747785","14.2550276097","0","","12.696323991","11.8846609393","3.5620406884","0.807348","6.537796838","3.8951447872","1.865269228","2.5353872904","2.4087978808","0.0117099115","0.0096","1.7552215809","1.016477064","0.084","0.2954756","0.4655235","","0.086593871","0.0129032256","0.011756","","0.0009014904","0.0001411392","","","0.0000004831","","","","","0","0","0","0","","","","","191.0713378371"
"2025-10-20","18.9425357231","0","","34.9301704375","","57.4698194301","24.113546941","14.0405680801","5.6779081597","17.476897247","0","","12.7111334537","13.1898376001","4.8747786775","1.778106","9.7831907853","8.4843707647","1.4274193446","2.5371505471","2.4085263017","0.0400963303","0.23965","2.3017245598","1.029668064","0.099","0.3279992","0.4984927262","","0.0846187097","0.0129032256","0.01212","","0.0017028191","0.0001469873","","","0.0000066236","0.0000027689","0.00001","","","0","0","0","0","","","","","234.4941015077"
"2025-10-21","18.9323112174","0","","32.2807809327","","54.9904815014","23.3697866282","13.0930021082","5.8096531697","16.9132785347","0","","12.7012803851","12.6278869196","4.9166135388","1.83073","10.06780735","8.5487957943","1.282258056","2.5396607695","2.4093175852","0.0526318085","0.57789","1.7620207704","1.023812064","0.105","0.3352744","0.4218312","","0.0864041935","0.0129032256","0.011982","","0.0011018253","0.0001529774","","","0.0000012075","0.0000055378","","","","0","0","0","0","","","","","226.7046557008"
"2025-10-22","18.9301119062","0","","32.1643819412","","58.2262706542","22.7835837384","13.5873860638","5.9413969791","16.3175332249","0","","12.7041179813","12.5240298545","4.5102060511","1.35712","9.5424570546","8.1890108882","1.225806444","2.5475197546","2.4085849544","1.3913770143","0.00955","1.5023282522","1.043624064","0.117","0.3833256","0.3358906","","0.0854370968","0.0129032256","0.012379","","0.0046074633","0.0001548634","","","0.0000010682","","","","","0","0","0","0","","","","","227.8580957383"
"2025-10-23","18.9257090156","0","","34.2856445495","","56.9326147832","21.8489785744","13.0445549971","5.2168819001","18.5357846266","0","","12.7113650267","12.4622516237","6.5418924072","3.329498","9.1319910761","7.568356819","1.225806444","2.5538915058","2.4138237098","0.0376844357","1.421025","1.3627905906","1.026956064","0.111","0.3945916","0.3333229","","0.0862980645","0.0129032256","0.01211","","0.0031051285","0.0001587396","","","0.0000009661","","","","","0","0","0","0","","","","","231.5309917734"
"2025-10-24","18.9301723883","0","","33.0510760967","","55.8834440838","21.2175075589","13.0712913739","5.3486063172","16.20230299","0","","12.7015166702","12.4146298609","4.698325369","1.548517","9.13449538","7.8610638429","1.225806444","2.5733343596","2.4144080272","0.0326552939","0.244255","1.3255327314","1.029899064","0.159","0.3331084","0.3401535","","0.0862090323","0.0129032256","0.01216","0","0.0019031474","0.0001621854","0","","0.0000005834","0.0000055352","","","","0","0","0","0","","","","","221.8544454612"
"2025-10-25","18.867310709","0","","28.3702054191","","53.235937978","7.6203771998","8.1229428709","5.019289415","13.9664647245","0","","12.6960773358","11.8470969664","3.5804245552","0.736786","6.1354602963","3.6148722268","3.305516844","2.5588504944","2.4118805189","0.0125082763","0.00955","1.1104196816","1.014671064","0.072","0.281022","0.3132175","","0.0861367742","0.0129032256","0.011627","","0.0003004961","0.0001633233","","","0","","","","","0","0","0","0","","","","","185.0140128952"
"2025-10-26","18.8661278083","0","","26.98468505","","52.0538281611","7.5989741129","29.2035002523","4.8875753857","13.990255915","0","","12.6942416051","11.8021592151","3.5736992225","0.730605","5.8877112833","3.4138984683","3.249099444","2.5588504944","2.4108471313","0.0125394308","0.0095","1.1471168586","1.015703064","0.075","0.235326","0.3040202","","0.085946129","0.0129082256","0.011688","","0.000400664","0.0001645056","","","0.000005797","","0.00002","","","0","0","0","0","","","","","202.8163974239"
"2025-10-27","18.9333212461","0","","36.7819803984","","57.7773787366","21.0029549498","12.9099888809","5.480400343","16.0409078635","0","","12.7021458916","12.7070975245","4.4407543637","1.315009","9.3179825438","8.1265391928","1.225806444","2.5611421593","2.4070844675","0.0345511846","0.0096","1.3458625985","1.032050064","0.117","0.314164","0.3147047","","0.0858941935","0.0129032256","0.012121","","0.0031051413","0.0001635188","","","0.0000030006","","","","","0","0","0","0","","","","","227.0126166324"
