"サービス","EC2 その他($)","Support (Enterprise)($)","ElastiCache($)","CloudWatch($)","Tax($)","Elastic Container Service($)","Managed Workflows for Apache Airflow($)","S3($)","DynamoDB($)","Elastic Load Balancing($)","Relational Database Service($)","VPC($)","CloudSearch($)","EC2 Container Registry (ECR)($)","CloudTrail($)","Lambda($)","GuardDuty($)","WAF($)","EC2 インスタンス($)","Kinesis($)","Secrets Manager($)","Redshift($)","Config($)","Athena($)","Global Accelerator($)","Elastic MapReduce($)","Key Management Service($)","SQS($)","Kinesis Firehose($)","API Gateway($)","OpenSearch Service($)","Route 53($)","SNS($)","Cost Explorer($)","CloudWatch Events($)","Elastic File System($)","SES($)","CloudFront($)","Backup($)","Location Service($)","Step Functions($)","CloudShell($)","Glue($)","Systems Manager($)","Savings Plans for  Compute usage($)","Cognito($)","CloudFormation($)","X-Ray($)","Certificate Manager($)","Refund($)","合計コスト($)"
"2025-07-11","107.5313585986","","6.2160077976","67.1857729499","","37.9543390975","30.2036507888","34.206154113","13.0998252369","19.9176321311","15.1439249147","16.7582550495","12.0748690867","7.0769925997","13.8098985","14.4598777678","12.7753911102","7.366872612","6.799650765","5.6277040625","4.4905273888","0.005910084","2.007","16.484995","2.7218225322","1.74876129","1.663464768","1.3294102788","1.3310458371","0.7297101374","1.4402244215","0.2309136","0.1905033385","0.2460951613","0.0003465","0.0322934496","0.000603569","0.0000076881","0.0000285563","0.00002","","","0","","0","","","","","","462.8618607821"
"2025-07-12","95.3521617112","","6.2160077976","42.0934153161","","15.7332331462","29.062393267","32.0598474277","13.0285353401","17.6283187717","11.1779622186","15.8464913438","10.6781552729","0.5226449232","11.555043","6.0638320752","10.2703113877","5.370221412","5.3417715052","5.621765741","3.4570423888","0.005910084","1.356","16.5549","2.3015053452","1.39925385","1.130538768","0.7328014944","0.6608135607","0.1041617368","1.4400369881","0.1473816","0.0255764628","0.2479770968","0.0000035","0.0322935384","","0.0000169699","0.0000286444","0.00001","","","0","","0","","","","","","363.2183636855"
"2025-07-13","97.2369242571","","6.2160077976","46.1333665746","","17.053349104","28.1506107811","32.1496671584","13.4463687275","17.8478228519","11.1784785349","15.8614992071","10.7244536287","0.5226449232","11.9985605","6.9950004106","10.6666676259","5.785954812","5.4266919613","5.622311454","3.6929873888","0.0055181142","1.569","16.61407","2.365083679","1.40293365","1.201197768","0.8392769668","0.8589300157","0.313236706","1.4402071478","0.152348","0.0815264732","0.2462787097","0.0000335","0.0322935384","","0.0000171951","0.0000286642","","","","0","","0","","","","","","373.8313478268"
"2025-07-14","110.8979608661","","6.6320051984","74.6172413212","","70.3033486682","46.7620021792","37.2841978662","14.500792322","20.3447595317","21.6916344102","19.454973625","12.0192100094","20.4177990789","15.3921925","19.704835137","15.8080557869","7.944706816","9.716735878","5.630147301","5.4372323888","9.19794841","5.319","16.728785","2.8804587767","2.81600661","2.304810768","1.6603497869","1.6038073538","1.6152102157","1.4403512808","0.245828","0.4141780227","0.2460822581","0.0005775","0.0322935384","0.0006035696","0.000002744","0.0000287075","","","","0","0","0","","","","","","581.0661534264"
"2025-07-15","110.9126759458","","6.1120117892","72.5200118273","","56.6251782001","44.482505614","35.7742133548","14.9772799491","20.3531515967","25.5499962526","18.69129171","11.8963564464","11.1195012603","15.4018675","17.3719550806","15.9135847172","7.61498042","9.2303217147","5.6298260265","5.5218923888","7.426290702","5.058","16.132765","2.8079066555","2.56820835","2.495487768","1.7449656816","1.3872263148","1.7717676346","1.4403147412","0.2530392","0.4508152193","0.241543871","0.000642","0.0322935384","0.0002021958","0.0000115197","0.0000287567","0.00001","","","0","0","0","","","","","","549.5101209427"
"2025-07-16","111.0053109359","","4.9680187656","72.3999511834","","43.1358394275","37.7082558517","37.1488267892","15.0292089798","20.5829610919","17.2463328139","17.7111675773","12.0693847209","14.0119789063","15.4391065","17.8134522739","15.2850602899","7.693125612","7.9570555806","5.629778275","5.2984573888","3.57377195","3.939","16.940915","2.8094737806","2.15328627","2.288025768","1.7480175766","1.4259285738","1.8212594804","1.4413521339","0.2515976","0.4646889316","0.2432132258","0.0005765","0.0322935384","0.0006046427","0.0003055835","0.0000288178","","","","0","0","0","","","","","","517.2676123367"
"2025-07-17","106.8419049549","","3.681026731","74.3731109024","","47.1160893389","37.5881236394","36.8222642625","15.6046478022","19.7548706202","18.0863506715","17.7980179352","12.1714186419","10.3999060199","16.476054","16.5004373319","16.5862835711","7.5252673979","8.143984988","5.6294996995","5.4883273888","3.937314556","3.573","17.111055","2.5853260856","2.36372781","2.338236768","1.7663580985","1.3506336017","1.7897899515","1.4401278506","0.2572056","0.467630212","0.2433648387","0.000671","0.0322937144","0.0001005948","0.0000104758","0.0000289364","0.00001","","","0","","0","","","","","","515.8444709912"
"2025-07-18","107.4369522034","","2.9080319912","74.2679354639","","27.4776926363","33.0683552103","35.5741608172","14.3109200785","19.842616872","13.1783401737","16.9136604373","11.7779143064","6.6714061915","14.4101785","14.876955857","13.5034859829","7.181179212","7.2450412517","5.628440846","4.6028423888","1.524486118","2.865","17.171835","2.7308080061","1.93184457","1.759365768","1.3800432734","1.2464081963","0.9005680069","1.4401251022","0.226504","0.2305145458","0.2431412903","0.000408","0.0322938024","0.0001005949","0.000008513","0.0000289983","0.00001","","","0","","0","","","","","","464.5596042057"
"2025-07-19","95.5950393677","","2.496034404","44.7908881669","","14.2080879441","28.4122566326","33.3597091022","13.2023529427","17.748009201","11.2797130593","15.761972143","10.62632159","0.5226360432","12.357342","5.9571356927","10.5290506341","5.724158412","5.8033630301","5.6217758245","3.4119873888","0.005859972","1.413","17.2521","2.3601989039","1.45187199","1.128084768","0.7120933303","0.8280410955","0.0707638445","1.4407145481","0.1466816","0.0161071271","0.2431083871","0.00001","0.0322938024","0.0001005945","0.0000893305","0.0000291269","0.0000595","","","0","","0","","","","","","364.5090414997"
"2025-07-20","94.1347853866","","2.496034404","42.4089630528","","14.2472595769","28.7831092004","32.3423559417","13.1877041002","17.5783471307","11.2706005858","15.6276595102","10.6129389105","0.5226360432","12.220964","5.6399557869","10.6237702362","5.285659812","5.742005846","5.621268489","3.3198523888","0.005859972","1.389","17.312795","2.2913525962","1.45428036","1.171797768","0.6418036919","0.6427139283","0.0531761164","1.4458447072","0.1348204","0.0120997816","0.2430167742","0.000013","0.0322938024","","0.0000582914","0.0000291469","0.00004","","","0","","0","","","","","","358.4968657384"
